o,h,l,c,v
1.161440134048462,1.161440134048462,1.161440134048462,1.161440134048462,0
1.161440134048462,1.161440134048462,1.161440134048462,1.161440134048462,0
1.161440134048462,1.161440134048462,1.161440134048462,1.161440134048462,0
1.161440134048462,1.161440134048462,1.161440134048462,1.161440134048462,0
1.1615750789642334,1.1615750789642334,1.1615750789642334,1.1615750789642334,0
1.161440134048462,1.161440134048462,1.161440134048462,1.161440134048462,0
1.1615750789642334,1.1615750789642334,1.1615750789642334,1.1615750789642334,0
1.1615750789642334,1.1615750789642334,1.1615750789642334,1.1615750789642334,0
1.1615750789642334,1.1615750789642334,1.1615750789642334,1.1615750789642334,0
1.1615750789642334,1.1615750789642334,1.1615750789642334,1.1615750789642334,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1618449687957764,1.1618449687957764,1.1618449687957764,1.1618449687957764,0
1.1618449687957764,1.1618449687957764,1.1618449687957764,1.1618449687957764,0
1.16225004196167,1.16225004196167,1.16225004196167,1.16225004196167,0
1.1621150970458984,1.1621150970458984,1.1621150970458984,1.1621150970458984,0
1.16225004196167,1.16225004196167,1.16225004196167,1.16225004196167,0
1.1618449687957764,1.1618449687957764,1.1618449687957764,1.1618449687957764,0
1.1618449687957764,1.1618449687957764,1.1618449687957764,1.1618449687957764,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1615750789642334,1.1615750789642334,1.1615750789642334,1.1615750789642334,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1618449687957764,1.1618449687957764,1.1618449687957764,1.1618449687957764,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1618449687957764,1.1618449687957764,1.1618449687957764,1.1618449687957764,0
1.1618449687957764,1.1618449687957764,1.1618449687957764,1.1618449687957764,0
1.1615750789642334,1.1615750789642334,1.1615750789642334,1.1615750789642334,0
1.161440134048462,1.161440134048462,1.161440134048462,1.161440134048462,0
1.161440134048462,1.161440134048462,1.161440134048462,1.161440134048462,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1619800329208374,1.1619800329208374,1.1619800329208374,1.1619800329208374,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.1617100238800049,1.1617100238800049,1.1617100238800049,1.1617100238800049,0
1.161440134048462,1.161440134048462,1.161440134048462,1.161440134048462,0
1.1615750789642334,1.1615750789642334,1.1615750789642334,1.1615750789642334,0
1.1615750789642334,1.1615750789642334,1.1615750789642334,1.1615750789642334,0
1.1615750789642334,1.1615750789642334,1.1615750789642334,1.1615750789642334,0
1.161440134048462,1.161440134048462,1.161440134048462,1.161440134048462,0
1.1615750789642334,1.1615750789642334,1.1615750789642334,1.1615750789642334,0
1.1615750789642334,1.1615750789642334,1.1615750789642334,1.1615750789642334,0
1.1618449687957764,1.1618449687957764,1.1618449687957764,1.1618449687957764,0
1.1619800329208374,1.1619800329208374,1.1619800329208374,1.1619800329208374,0
1.1619800329208374,1.1619800329208374,1.1619800329208374,1.1619800329208374,0
1.1618449687957764,1.1618449687957764,1.1618449687957764,1.1618449687957764,0
1.1618449687957764,1.1618449687957764,1.1618449687957764,1.1618449687957764,0
1.1619800329208374,1.1619800329208374,1.1619800329208374,1.1619800329208374,0
1.1619800329208374,1.1619800329208374,1.1619800329208374,1.1619800329208374,0
1.1618449687957764,1.1618449687957764,1.1618449687957764,1.1618449687957764,0
1.1618449687957764,1.1618449687957764,1.1618449687957764,1.1618449687957764,0
1.1619800329208374,1.1619800329208374,1.1619800329208374,1.1619800329208374,0
1.1621150970458984,1.1621150970458984,1.1621150970458984,1.1621150970458984,0
1.1623852252960205,1.1623852252960205,1.1623852252960205,1.1623852252960205,0
1.1623852252960205,1.1623852252960205,1.1623852252960205,1.1623852252960205,0
1.16225004196167,1.16225004196167,1.16225004196167,1.16225004196167,0
1.1623852252960205,1.1623852252960205,1.1623852252960205,1.1623852252960205,0
1.16225004196167,1.16225004196167,1.16225004196167,1.16225004196167,0
1.1619800329208374,1.1619800329208374,1.1619800329208374,1.1619800329208374,0
1.1621150970458984,1.1621150970458984,1.1621150970458984,1.1621150970458984,0
1.1619800329208374,1.1619800329208374,1.1619800329208374,1.1619800329208374,0
