o,h,l,c,v,timestamp
1413.800048828125,1415.199951171875,1412.5999755859375,1415.199951171875,273861,2025-09-18 08:00:00+00:00
1415.0999755859375,1415.5999755859375,1413.9000244140625,1414.4000244140625,103977,2025-09-18 08:05:00+00:00
1414.4000244140625,1415.0,1414.0,1415.0,42782,2025-09-18 08:10:00+00:00
1414.800048828125,1416.4000244140625,1414.5,1416.0999755859375,48136,2025-09-18 08:15:00+00:00
1416.4000244140625,1416.9000244140625,1413.9000244140625,1414.4000244140625,155143,2025-09-18 08:20:00+00:00
1414.199951171875,1414.5,1412.9000244140625,1413.800048828125,63016,2025-09-18 08:25:00+00:00
1413.5,1415.0999755859375,1413.300048828125,1414.5999755859375,52248,2025-09-18 08:30:00+00:00
1414.5999755859375,1414.5999755859375,1412.9000244140625,1414.0,107988,2025-09-18 08:35:00+00:00
1414.0,1415.0999755859375,1413.9000244140625,1414.4000244140625,144916,2025-09-18 08:40:00+00:00
1414.5,1415.0,1414.300048828125,1415.0,51667,2025-09-18 08:45:00+00:00
1414.800048828125,1415.4000244140625,1414.0,1414.199951171875,79852,2025-09-18 08:50:00+00:00
1414.0999755859375,1416.0,1413.0999755859375,1413.0999755859375,249814,2025-09-18 08:55:00+00:00
1413.5,1415.0999755859375,1413.199951171875,1413.199951171875,94741,2025-09-18 09:00:00+00:00
1413.4000244140625,1414.5999755859375,1413.0999755859375,1413.4000244140625,125695,2025-09-18 09:05:00+00:00
1413.5999755859375,1414.5,1411.4000244140625,1412.4000244140625,204620,2025-09-18 09:10:00+00:00
1412.4000244140625,1413.300048828125,1411.0,1412.9000244140625,230663,2025-09-18 09:15:00+00:00
1413.0,1413.800048828125,1412.0999755859375,1412.800048828125,131704,2025-09-18 09:20:00+00:00
1412.5999755859375,1414.0,1412.300048828125,1412.9000244140625,176531,2025-09-18 09:25:00+00:00
1412.9000244140625,1414.4000244140625,1412.9000244140625,1414.300048828125,311654,2025-09-18 09:30:00+00:00
1414.300048828125,1415.5,1414.0,1414.5999755859375,288282,2025-09-18 09:35:00+00:00
1414.5999755859375,1415.0,1414.0999755859375,1414.5,249913,2025-09-18 09:40:00+00:00
1414.5,1416.4000244140625,1414.4000244140625,1416.300048828125,252440,2025-09-18 09:45:00+00:00
1416.300048828125,1416.5,1414.699951171875,1416.0,296685,2025-09-18 09:50:00+00:00
1415.9000244140625,1416.9000244140625,1413.199951171875,1415.0,221949,2025-09-18 09:55:00+00:00
1415.699951171875,1416.5,1408.0999755859375,1410.0999755859375,0,2025-09-19 03:45:00+00:00
1410.699951171875,1411.300048828125,1408.5999755859375,1410.800048828125,302678,2025-09-19 03:50:00+00:00
1410.800048828125,1411.5,1410.199951171875,1411.4000244140625,43823,2025-09-19 03:55:00+00:00
1411.199951171875,1411.300048828125,1408.5,1408.9000244140625,84231,2025-09-19 04:00:00+00:00
1409.199951171875,1409.199951171875,1407.5,1408.0,98155,2025-09-19 04:05:00+00:00
1407.9000244140625,1408.800048828125,1407.300048828125,1408.199951171875,105969,2025-09-19 04:10:00+00:00
1407.9000244140625,1407.9000244140625,1406.0,1406.9000244140625,108976,2025-09-19 04:15:00+00:00
1407.0,1407.5,1406.5999755859375,1407.0,42876,2025-09-19 04:20:00+00:00
1406.800048828125,1407.4000244140625,1405.800048828125,1406.0,87288,2025-09-19 04:25:00+00:00
1406.300048828125,1406.300048828125,1403.5999755859375,1404.699951171875,140693,2025-09-19 04:30:00+00:00
1404.800048828125,1406.0999755859375,1404.0,1405.9000244140625,52135,2025-09-19 04:35:00+00:00
1405.9000244140625,1406.0,1405.0,1405.800048828125,72964,2025-09-19 04:40:00+00:00
1406.0,1406.0,1404.0,1404.5,69036,2025-09-19 04:45:00+00:00
1404.800048828125,1406.0999755859375,1404.199951171875,1406.0,64292,2025-09-19 04:50:00+00:00
1405.9000244140625,1406.4000244140625,1405.5999755859375,1405.9000244140625,72293,2025-09-19 04:55:00+00:00
1405.9000244140625,1406.800048828125,1404.300048828125,1405.0,123634,2025-09-19 05:00:00+00:00
1405.0,1405.9000244140625,1405.0,1405.4000244140625,23147,2025-09-19 05:05:00+00:00
1405.4000244140625,1405.5999755859375,1405.199951171875,1405.5,17900,2025-09-19 05:10:00+00:00
1405.300048828125,1405.5,1405.0,1405.300048828125,39897,2025-09-19 05:15:00+00:00
1405.199951171875,1405.4000244140625,1404.9000244140625,1405.0999755859375,36007,2025-09-19 05:20:00+00:00
1405.0,1405.5,1404.9000244140625,1405.0999755859375,23909,2025-09-19 05:25:00+00:00
1405.0999755859375,1405.300048828125,1404.5999755859375,1404.9000244140625,34676,2025-09-19 05:30:00+00:00
1404.9000244140625,1406.300048828125,1404.0,1405.5,136303,2025-09-19 05:35:00+00:00
1405.199951171875,1405.699951171875,1404.5999755859375,1405.300048828125,29763,2025-09-19 05:40:00+00:00
1405.199951171875,1405.5999755859375,1405.0,1405.5,23971,2025-09-19 05:45:00+00:00
1405.5,1406.0,1405.199951171875,1405.9000244140625,22310,2025-09-19 05:50:00+00:00
1405.9000244140625,1406.0999755859375,1405.5,1405.800048828125,39693,2025-09-19 05:55:00+00:00
1405.9000244140625,1407.0,1405.9000244140625,1406.5,49536,2025-09-19 06:00:00+00:00
1406.5,1407.300048828125,1406.5,1407.0,80061,2025-09-19 06:05:00+00:00
1407.5,1409.0999755859375,1406.699951171875,1407.699951171875,196819,2025-09-19 06:10:00+00:00
1407.4000244140625,1407.699951171875,1406.0,1406.9000244140625,97962,2025-09-19 06:15:00+00:00
1406.5,1407.699951171875,1406.5,1407.199951171875,41571,2025-09-19 06:20:00+00:00
1407.199951171875,1408.4000244140625,1407.0,1408.0,60070,2025-09-19 06:25:00+00:00
1408.0999755859375,1408.800048828125,1408.0,1408.4000244140625,51887,2025-09-19 06:30:00+00:00
1408.4000244140625,1408.800048828125,1408.0,1408.699951171875,37223,2025-09-19 06:35:00+00:00
1408.800048828125,1409.0,1408.0,1408.0,60836,2025-09-19 06:40:00+00:00
1408.0999755859375,1408.800048828125,1408.0,1408.0,105722,2025-09-19 06:45:00+00:00
1408.0999755859375,1410.0,1408.0,1409.4000244140625,172359,2025-09-19 06:50:00+00:00
1409.4000244140625,1409.9000244140625,1409.300048828125,1409.5,40973,2025-09-19 06:55:00+00:00
1409.5,1410.199951171875,1409.4000244140625,1409.9000244140625,61618,2025-09-19 07:00:00+00:00
1410.0,1410.0,1409.4000244140625,1409.4000244140625,36232,2025-09-19 07:05:00+00:00
1409.4000244140625,1409.5,1408.800048828125,1409.0,32116,2025-09-19 07:10:00+00:00
1409.0,1410.699951171875,1409.0,1410.4000244140625,112151,2025-09-19 07:15:00+00:00
